Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Method,"jsr166e.ConcurrentHashMapV8.KeySpliterator.trySplit",1,2,2,2
Abstract Method,"jsr166e.ConcurrentHashMapV8.LongByLongToLong.apply",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapEntry.MapEntry",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapEntry.equals",1,1,1,7
Public Method,"jsr166e.ConcurrentHashMapV8.MapEntry.getKey",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapEntry.getValue",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapEntry.hashCode",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapEntry.setValue",1,2,2,2
Public Method,"jsr166e.ConcurrentHashMapV8.MapEntry.toString",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesTask.MapReduceEntriesTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesTask.compute",1,10,10,12
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToDoubleTask.MapReduceEntriesToDoubleTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToDoubleTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToDoubleTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToIntTask.MapReduceEntriesToIntTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToIntTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToIntTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToLongTask.MapReduceEntriesToLongTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToLongTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceEntriesToLongTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceKeysTask.MapReduceKeysTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysTask.compute",1,10,10,12
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToDoubleTask.MapReduceKeysToDoubleTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToDoubleTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToDoubleTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToIntTask.MapReduceKeysToIntTask",1,1,1,1
